Column1,file_name,dz,huden,nzy,mean,max-min
0,00000.jpeg,60,70,55,62,15
1,00001.jpeg,40,31,33,35,9
2,00002.jpeg,42,35,34,37,8
3,00003.jpeg,45,48,34,43,14
4,00004.jpeg,35,31,15,27,20
5,00005.jpeg,50,50,43,48,7
6,00006.jpeg,1,1,2,2,1
7,00007.jpeg,75,63,71,70,12
8,00016.jpeg,75,66,78,73,12
9,00026.jpeg,69,50,50,57,19
10,00046.jpeg,71,62,57,64,14
11,00047.jpeg,69,45,57,57,24
12,00048.jpeg,85,79,88,84,9
13,00049.jpeg,85,81,92,86,11
14,00056.jpeg,82,75,84,81,9
15,00057.jpeg,89,75,85,83,14
16,00058.jpeg,60,37,56,51,23
17,00059.jpeg,80,75,71,76,9
18,00060.jpeg,80,79,66,75,14
19,00073.jpeg,81,61,59,67,22
20,00074.jpeg,79,74,57,70,22
21,00077.jpeg,69,51,71,64,20
22,00082.jpeg,75,60,59,65,16
23,00084.jpeg,80,73,71,75,9
24,00085.jpeg,78,68,69,72,10
25,00086.jpeg,80,75,64,73,16
26,00087.jpeg,75,75,61,71,14
27,00089.jpeg,90,90,90,90,0
28,00090.jpeg,77,84,70,77,14
29,00096.jpeg,67,56,50,58,17
30,00097.jpeg,48,42,30,40,18
31,00098.jpeg,90,70,92,84,22
32,00099.jpeg,88,70,85,81,18
33,00100.jpeg,79,70,78,76,9
34,00101.jpeg,83,70,85,80,15
35,00102.jpeg,76,62,78,72,16
36,00103.jpeg,65,55,60,60,10
37,00104.jpeg,95,82,90,89,13
38,00105.jpeg,70,62,70,68,8
39,00106.jpeg,74,58,58,64,16
40,00107.jpeg,70,73,62,69,11
41,00110.jpeg,78,71,53,68,25
42,00111.jpeg,72,65,53,64,19
43,00112.jpeg,31,53,30,38,23
44,00113.jpeg,25,48,32,35,23
45,00114.jpeg,21,49,32,34,28
46,00115.jpeg,60,46,55,54,14
47,00116.jpeg,56,44,55,52,12
48,00117.jpeg,54,44,62,54,18
49,00118.jpeg,40,60,61,54,21
50,00119.jpeg,40,60,61,54,21
51,00120.jpeg,40,48,50,46,10
52,00121.jpeg,51,61,44,52,17
53,00122.jpeg,41,27,43,37,16
54,00127.jpeg,45,45,43,45,2
55,00131.jpeg,54,53,44,51,10
56,00132.jpeg,40,53,44,46,13
57,00133.jpeg,70,62,50,61,20
58,00134.jpeg,74,53,52,60,22
59,00135.jpeg,74,62,62,66,12
60,00139.jpeg,95,70,90,85,25
61,00140.jpeg,90,72,85,83,18
62,00147.jpeg,87,78,70,79,17
63,00148.jpeg,89,79,70,80,19
64,00155.jpeg,78,76,53,69,25
65,00156.jpeg,90,78,77,82,13
66,00157.jpeg,89,86,78,85,11
67,00158.jpeg,76,79,65,74,14
68,00165.jpeg,88,78,78,82,10
69,00166.jpeg,88,72,78,80,16
70,00167.jpeg,83,73,78,78,10
71,00168.jpeg,78,79,78,79,1
72,00169.jpeg,73,68,71,71,5
73,00200.jpeg,70,58,64,64,12
74,00201.jpeg,71,57,52,60,19
75,00202.jpeg,75,55,60,64,20
76,00203.jpeg,30,24,34,30,10
77,00204.jpeg,65,50,71,62,21
78,00205.jpeg,66,62,71,67,9
79,00206.jpeg,34,36,34,35,2
80,00207.jpeg,40,36,43,40,7
81,00208.jpeg,40,42,43,42,3
82,00209.jpeg,40,53,50,48,13
83,00210.jpeg,78,75,88,81,13
84,00211.jpeg,71,71,61,68,10
85,00213.jpeg,80,76,71,76,9
86,00214.jpeg,50,55,50,52,5
87,00215.jpeg,67,55,62,62,12
88,00216.jpeg,63,46,60,57,17
89,00217.jpeg,63,50,60,58,13
90,00218.jpeg,50,50,48,50,2
91,00219.jpeg,69,68,47,62,22
92,00231.jpeg,68,55,51,58,17
93,00232.jpeg,60,55,48,55,12
94,00233.jpeg,30,44,40,38,14
95,00234.jpeg,25,6,20,17,19
96,00235.jpeg,45,23,48,39,25
97,00236.jpeg,75,55,53,61,22
98,00245.jpeg,61,48,55,55,13
99,00247.jpeg,1,16,7,8,15
100,00248.jpeg,76,68,55,67,21
101,00249.jpeg,76,68,62,69,14
102,00250.jpeg,70,49,56,59,21
103,00257.jpeg,68,55,60,61,13
104,00258.jpeg,60,49,57,56,11
105,00259.jpeg,60,60,70,64,10
106,00260.jpeg,68,51,71,64,20
107,00261.jpeg,78,55,70,68,23
108,00267.jpeg,76,68,78,74,10
109,00268.jpeg,90,71,78,80,19
110,00269.jpeg,85,78,80,81,7
111,00270.jpeg,92,76,82,84,16
112,00273.jpeg,84,89,90,88,6
113,00274.jpeg,90,86,91,89,5
114,00275.jpeg,1,2,2,2,1
115,00276.jpeg,1,5,4,4,4
116,00277.jpeg,80,74,72,76,8
117,00278.jpeg,78,68,70,72,10
118,00281.jpeg,80,70,71,74,10
119,00282.jpeg,75,55,62,64,20
120,00283.jpeg,67,54,60,61,13
121,00284.jpeg,52,49,60,54,11
122,00285.jpeg,47,49,61,53,14
123,00286.jpeg,69,45,62,59,24
124,00287.jpeg,75,70,74,73,5
125,00288.jpeg,64,70,71,69,7
126,00289.jpeg,60,70,71,67,11
127,00290.jpeg,79,80,79,80,1
128,00291.jpeg,79,80,79,80,1
129,00292.jpeg,79,88,82,83,9
130,00293.jpeg,80,90,88,86,10
131,00294.jpeg,70,57,57,62,13
132,00295.jpeg,60,57,50,56,10
133,00296.jpeg,80,65,75,74,15
134,00297.jpeg,80,69,76,75,11
135,00298.jpeg,70,65,60,65,10
136,00299.jpeg,70,65,76,71,11
137,00300.jpeg,76,61,64,67,15
138,00301.jpeg,76,61,76,71,15
139,00302.jpeg,60,55,50,55,10
140,00303.jpeg,59,56,50,55,9
141,00304.jpeg,78,74,87,80,13
142,00305.jpeg,50,49,45,48,5
143,00306.jpeg,59,49,48,52,11
144,00307.jpeg,54,32,52,46,22
145,00308.jpeg,50,32,50,44,18
146,00309.jpeg,75,65,55,65,20
147,00310.jpeg,76,65,55,66,21
148,00311.jpeg,76,74,59,70,17
149,00323.jpeg,15,12,19,16,7
150,00324.jpeg,80,62,77,73,18
151,00325.jpeg,85,76,84,82,9
152,00326.jpeg,40,51,49,47,11
153,00327.jpeg,90,78,78,82,12
154,00328.jpeg,88,76,71,79,17
155,00329.jpeg,95,84,88,89,11
156,00330.jpeg,87,83,92,88,9
157,00331.jpeg,2,20,7,10,18
158,00338.jpeg,68,77,72,73,9
159,00345.jpeg,60,38,38,46,22
160,00346.jpeg,30,25,11,22,19
161,00347.jpeg,56,56,40,51,16
162,00348.jpeg,60,58,35,51,25
163,00349.jpeg,77,68,72,73,9
164,00350.jpeg,90,78,90,86,12
165,00351.jpeg,70,70,55,65,15
166,00352.jpeg,93,81,85,87,12
167,00353.jpeg,90,81,85,86,9
168,00356.jpeg,85,69,78,78,16
169,00357.jpeg,86,78,78,81,8
170,00358.jpeg,78,76,80,78,4
171,00359.jpeg,78,58,55,64,23
172,00361.jpeg,3,5,2,4,3
173,00362.jpeg,30,28,22,27,8
174,00363.jpeg,70,54,51,59,19
175,00364.jpeg,75,84,60,73,24
176,00365.jpeg,57,72,60,63,15
177,00366.jpeg,45,41,47,45,6
178,00367.jpeg,51,47,61,53,14
179,00370.jpeg,55,56,51,54,5
180,00371.jpeg,85,79,90,85,11
181,00372.jpeg,83,77,78,80,6
182,00373.jpeg,82,78,85,82,7
183,00374.jpeg,46,42,52,47,10
184,00375.jpeg,56,41,56,51,15
185,00376.jpeg,80,74,85,80,11
186,00377.jpeg,70,60,62,64,10
187,00378.jpeg,87,74,88,83,14
188,00379.jpeg,89,81,85,85,8
189,00380.jpeg,94,81,95,90,14
190,00381.jpeg,67,73,71,71,6
191,00387.jpeg,57,61,63,61,6
192,00389.jpeg,51,63,52,56,12
193,00390.jpeg,51,56,45,51,11
194,00391.jpeg,77,69,85,77,16
195,00392.jpeg,76,69,72,73,7
196,00393.jpeg,66,61,62,63,5
197,00394.jpeg,54,51,55,54,4
198,00395.jpeg,60,54,60,58,6
199,00396.jpeg,1,2,1,2,1
200,00397.jpeg,61,62,77,67,16
201,00398.jpeg,57,51,48,52,9
202,00399.jpeg,69,73,78,74,9
203,00400.jpeg,75,71,78,75,7
204,00401.jpeg,67,70,74,71,7
205,00402.jpeg,63,65,62,64,3
206,00403.jpeg,63,65,68,66,5
207,00404.jpeg,68,69,50,63,19
208,00405.jpeg,75,72,71,73,4
209,00406.jpeg,77,67,57,67,20
210,00407.jpeg,80,73,71,75,9
211,00408.jpeg,90,88,92,90,4
212,00409.jpeg,90,85,89,88,5
213,00410.jpeg,84,86,90,87,6
214,00411.jpeg,80,84,92,86,12
215,00412.jpeg,81,83,79,81,4
216,00413.jpeg,96,87,90,91,9
217,00414.jpeg,97,87,90,92,10
218,00415.jpeg,80,81,80,81,1
219,00416.jpeg,43,41,43,43,2
220,00418.jpeg,75,59,67,67,16
221,00419.jpeg,75,70,78,75,8
222,00420.jpeg,35,51,35,41,16
223,00421.jpeg,77,61,61,67,16
224,00422.jpeg,39,30,37,36,9
225,00423.jpeg,55,31,40,42,24
226,00424.jpeg,55,34,56,49,22
227,00425.jpeg,50,29,41,40,21
228,00426.jpeg,46,23,36,35,23
229,00427.jpeg,45,26,43,38,19
230,00428.jpeg,70,61,78,70,17
231,00429.jpeg,76,70,82,76,12
