,index,file_name,opinion_score,comment
0,19,00691.jpeg,1,LQ
1,61,01981.jpeg,1,
2,75,02557.jpeg,2,
3,30,00919.jpeg,2,Lost focus
4,52,01775.jpeg,2,玻璃体积血遮挡
5,79,02873.jpeg,4,
6,131,05239.jpeg,6,blocking
7,107,04416.jpeg,6,屈光介质混子
8,76,02559.jpeg,6,
9,126,09750.jpeg,7,对焦不清
10,47,01515.jpeg,7,遮挡
11,9,06584.jpeg,8,对焦不清
12,67,02340.jpeg,8,还能看到视盘
13,120,04843.jpeg,10,对焦不清较暗
14,82,09495.jpeg,10,
15,90,03355.jpeg,10,
16,142,09890.jpeg,11,对焦不清
17,77,02763.jpeg,11,
18,95,03836.jpeg,12,
19,54,09241.jpeg,12,镜头位置偏后
20,102,04121.jpeg,13,太暗周边离焦
21,14,00446.jpeg,13,可看到视盘和部分血管，其余被遮挡
22,48,01584.jpeg,13,遮挡
23,26,08868.jpeg,13,周边离焦，较暗
24,69,09406.jpeg,14,镜头脏了，遮挡，对焦
25,84,09537.jpeg,14,
26,116,04738.jpeg,14,遮挡
27,141,09860.jpeg,14,周边遮挡
28,23,08830.jpeg,14,对焦不清，镜头脏了
29,27,09007.jpeg,15,对焦不清
30,55,09245.jpeg,15,对焦不足
31,125,09742.jpeg,15,
32,13,08838.jpeg,15,对焦不清
33,20,00740.jpeg,15,镜头脏了，周边不清
34,40,09050.jpeg,15,对焦不清，周边离焦
35,38,09008.jpeg,15,对焦不清，周边离焦
36,112,09681.jpeg,19,没拍到视盘，周边不清
37,71,09463.jpeg,19,
38,103,04157.jpeg,20,周边离焦，对焦不清
39,101,03873.jpeg,21,镜头脏了
40,3,00116.jpeg,22,
41,66,02213.jpeg,22,
42,114,04658.jpeg,23,周边离焦
43,140,09855.jpeg,24,遮挡
44,46,01513.jpeg,25,较暗对焦不足
45,16,00517.jpeg,27,可看到视盘发育异常
46,96,09549.jpeg,28,
47,12,08820.jpeg,28,高度近视，太暗
48,41,09174.jpeg,29,视盘没拍，色暗
49,91,03361.jpeg,29,
50,130,05226.jpeg,29,略暗，局部遮挡
51,127,09806.jpeg,30,周边遮挡
52,60,01915.jpeg,30,周边离焦
53,123,05166.jpeg,33,对焦不清较暗
54,65,02159.jpeg,34,周边离焦
55,85,09559.jpeg,35,
56,122,05106.jpeg,35,较暗
57,132,05299.jpeg,35,略暗
58,21,00813.jpeg,35,周边不清
59,138,05915.jpeg,37,局部遮挡
60,1,00058.jpeg,38,
61,51,01716.jpeg,41,较暗
62,32,01104.jpeg,42,部分遮挡
63,133,05470.jpeg,43,局部遮挡
64,8,00416.jpeg,43,略暗，有髓神经纤维
65,94,03745.jpeg,43,
66,29,00890.jpeg,43,黄斑出血，色暗
67,31,00957.jpeg,43,部分遮挡
68,25,08858.jpeg,43,周边不清
69,118,04758.jpeg,43,较暗
70,35,01364.jpeg,44,色暗
71,111,09652.jpeg,45,太暗，周边不清
72,18,00608.jpeg,46,高度近视，较暗，对焦不清
73,81,03128.jpeg,48,
74,80,02909.jpeg,50,
75,86,03178.jpeg,50,
76,109,04518.jpeg,50,对焦不清
77,134,05496.jpeg,50,局部遮挡
78,119,04840.jpeg,50,屈光介质混浊，玻璃体变性
79,0,00026.jpeg,50,高度近视黄斑出血
80,57,09320.jpeg,50,周边遮挡
81,34,01333.jpeg,50,黄斑缺损，没拍到视盘
82,15,00494.jpeg,53,视盘可见，颜色较暗
83,106,04366.jpeg,54,对焦不清
84,28,00879.jpeg,55,对比度不足
85,98,09578.jpeg,55,
86,22,00833.jpeg,55,PCV导致眼底出血，没拍到视盘
87,104,04228.jpeg,56,略暗
88,56,09316.jpeg,56,上睑遮挡
89,121,04884.jpeg,56,周边遮挡
90,68,09402.jpeg,57,镜头脏了
91,135,05592.jpeg,57,周边离焦
92,6,00294.jpeg,57,眼底出血
93,2,00073.jpeg,59,糖尿病视网膜病变激光术后
94,115,04718.jpeg,61,
95,143,10051.jpeg,62,视盘对焦不清
96,92,03424.jpeg,63,
97,50,01691.jpeg,63,视盘过曝光
98,5,00168.jpeg,64,高度近视
99,124,09715.jpeg,64,较暗
100,43,01415.jpeg,66,较暗
101,89,03322.jpeg,68,糖尿病视网膜病变
102,129,05191.jpeg,69,有髓神经纤维
103,105,04245.jpeg,69,
104,73,02470.jpeg,69,
105,88,03285.jpeg,70,视网膜动脉瘤？
106,42,09212.jpeg,70,周边离焦
107,7,00381.jpeg,71,略暗，高度近视
108,137,05880.jpeg,71,
109,17,00534.jpeg,71,有髓神经纤维，较暗
110,44,01461.jpeg,71,较暗
111,59,01911.jpeg,71,高度近视
112,108,04507.jpeg,71,糖尿病视网膜病变
113,136,05636.jpeg,76,
114,87,03189.jpeg,77,
115,11,08812.jpeg,77,小孩
116,36,01378.jpeg,77,视盘过度曝光
117,78,02829.jpeg,77,
118,58,01872.jpeg,78,
119,45,01485.jpeg,78,
120,99,09625.jpeg,78,
121,64,02103.jpeg,78,太暗
122,72,02467.jpeg,78,
123,117,04741.jpeg,80,
124,74,02520.jpeg,80,
125,49,01614.jpeg,83,视网膜分支静脉阻塞激光术后
126,53,09239.jpeg,84,
127,110,09644.jpeg,84,
128,93,03595.jpeg,85,
129,10,08804.jpeg,86,小孩假性视神经炎
130,70,09444.jpeg,87,略暗
131,63,02083.jpeg,88,脉络膜血管瘤？
132,4,00139.jpeg,90,
133,139,09840.jpeg,92,
134,83,09510.jpeg,92,
135,37,01404.jpeg,92,视网膜出血，色较暗
136,24,08843.jpeg,92,
137,97,09573.jpeg,92,
138,100,03869.jpeg,92,
139,33,01123.jpeg,96,中央静脉阻塞
140,39,09010.jpeg,98,
141,62,01994.jpeg,98,视网膜中央静脉阻塞
142,128,10408.jpeg,99,
143,113,09699.jpeg,99,
